"wage","age","educ","exper","union","female","married","urban"
13.7062501907349,26,13,6,0,0,1,1
6.9851188659668,31,8,16,0,0,1,1
7.375,33,8,18,0,1,1,1
4.94999980926514,30,10,13,0,0,0,1
10.5642852783203,43,6,30,1,0,1,1
5.49375009536743,42,9,26,0,1,1,1
13.7208337783813,30,10,13,0,0,1,1
4.8169641494751,28,10,11,1,1,1,1
16.2785720825195,31,8,16,0,1,1,1
1.34134614467621,42,9,26,0,1,1,1
10.3590908050537,30,13,10,1,0,0,1
1.92499995231628,36,10,19,0,0,1,1
16.7437496185303,50,9,34,0,0,1,1
7.09375,41,8,26,1,0,1,1
15.7437496185303,32,7,18,1,1,1,1
6.16249990463257,33,7,19,1,0,1,1
6.16249990463257,24,10,7,1,1,1,1
0.818750023841858,30,10,13,0,0,1,1
2.41249990463257,45,9,29,0,0,1,1
4.24375009536743,43,8,28,1,0,1,1
8.09375,42,6,29,1,1,1,1
14.9937496185303,39,6,26,0,1,1,1
7.34375,41,9,25,0,0,1,1
4.24375009536743,29,10,12,1,0,1,1
14.2437496185303,45,10,28,0,0,1,1
8.66250038146973,50,9,34,0,0,1,1
1.92499995231628,47,6,34,0,1,1,1
8.66250038146973,19,10,2,0,1,0,1
8.16250038146973,35,9,19,0,1,0,1
7.34375,25,7,11,1,0,0,1
7.34375,23,6,10,1,0,0,1
11.8697919845581,47,9,31,0,0,1,1
4.41249990463257,58,8,43,0,0,1,1
3.91249990463257,24,10,7,0,0,0,1
3.91249990463257,47,6,34,0,0,0,1
8.66250038146973,23,10,6,0,0,1,1
4.53749990463257,21,10,4,0,1,1,1
3.75,50,13,30,0,1,1,1
6.29374980926514,21,8,6,0,0,0,1
3.95624995231628,19,9,3,0,0,0,1
6.25,33,7,19,0,1,1,1
14.375,21,6,8,0,0,0,1
6.875,53,8,38,0,0,1,1
10.625,42,8,27,0,0,1,1
5.625,45,7,31,0,1,1,1
5.25,21,10,4,0,1,0,1
7.41666650772095,52,7,38,0,0,1,1
7.41666650772095,24,8,9,0,0,0,1
4.03333330154419,37,8,22,1,0,1,1
8.66250038146973,41,8,26,0,0,0,1
18.1013507843018,26,12,7,0,1,0,1
8.66250038146973,22,10,5,0,1,0,1
10.5642852783203,34,12,15,0,1,1,1
2.45624995231628,34,12,15,1,0,1,1
5.625,50,10,33,0,1,1,1
6.625,22,10,5,0,0,0,1
21.0437507629395,22,10,5,1,0,0,1
6.23124980926514,40,8,25,1,1,1,1
3.4375,49,5,37,1,1,1,1
6.25,46,3,36,0,0,1,1
15.4937496185303,43,10,26,0,1,1,1
21.25,53,6,40,0,0,0,1
5,29,10,12,0,1,0,1
11.25,23,10,6,0,1,0,1
