candidate,receipts
"STRICKLAND, TED",115180
"GUTIERREZ, LUIS V",161593
"CHRISTENSEN, DONNA M",174302
"WATSON, DIANE E E",182018
"OWENS, MAJOR ROBERT",183356
"BORDALLO, MADELEINE Z MS.",203379
"CARDIN, BENJAMIN L",269313
"SERRANO, JOSE E",312397
"MILLENDER-MCDONALD, JUANITA",315374
"NAPOLITANO, GRACE",329193
"SCOTT, ROBERT C",336423
"HASTINGS, ALCEE L",343108
"DAVIS, SUSAN A",343916
"CASE, EDWARD E",367426
"LIPINSKI, DANIEL WILLIAM",371989
"BUTTERFIELD, G K",387424
"MCKINNEY, CYNTHIA A",393097
"LEE, SHEILA JACKSON",395014
"JOHNSON, EDDIE BERNICE",411189
"TAYLOR, GENE MR.",428332
"STARK, PETE",430320
"GREEN, ALEXANDER",431655
"CLAY, WILLIAM LACY JR",443363
"KILPATRICK, CAROLYN CHEEKS",460445
"CARSON, JULIA",476139
"MCNULTY, MICHAEL R.",482264
"BROWN, CORRINE",491300
"WATT, MELVIN L",503513
"KAPTUR, MARCY",505050
"SLAUGHTER, LOUISE M",510564
"UDALL, TOM",515102
"DAVIS, DANNY K",542153
"MCCOLLUM, BETTY",562752
"EVANS, LANE A",565245
"RAHALL, NICK J II",565269
"MOORE, GWENDOLYNNE",565396
"ROYBAL-ALLARD, LUCILLE",589538
"RYAN, TIMOTHY J",609009
"PAYNE, DONALD M",613321
"LOFGREN, ZOE",624136
"LEVIN, SANDER M",626413
"LEWIS, JOHN",628202
"DEGETTE, DIANA L",635208
"KUCINICH, DENNIS J",635245
"SANCHEZ, LINDA",643970
"WAXMAN, HENRY A.",648175
"TIERNEY, JOHN",654168
"SNYDER, VICTOR FREDERICK",659814
"OLVER, JOHN W.",660116
"HINCHEY, MAURICE D",664148
"MILLER, GEORGE",667494
"CLEAVER, EMANUEL II",669497
"HINOJOSA, RUBEN E",681521
"BACA, JOE",686650
"ORTIZ, SOLOMON P",687750
"BRADY, ROBERT A",694747
"REYES, SILVESTRE",701687
"NEAL, RICHARD E MR.",715000
"GREEN, RAYMOND E. 'GENE'",728000
"MICHAUD, MICHAEL H",737307
"TUBBS-JONES, STEPHANIE",754168
"MCGOVERN, JAMES P",755594
"NADLER, JERROLD LEWIS",758666
"GONZALEZ, CHARLES A",761665
"HONDA, MIKE",761703
"DAVIS, ARTUR GENESTRE",764141
"VELAZQUEZ, NYDIA M",766762
"COOPER, JAMES H. S.",772293
"FARR, SAM",773188
"BLUMENAUER, EARL",789369
"WEXLER, ROBERT",789946
"DEFAZIO, PETER A",793123
"WATERS, MAXINE MS",795431
"WYNN, ALBERT R",799324
"STUPAK, BART",805653
"SOLIS, HILDA",809643
"BISHOP, SANFORD D JR.",818301
"DELAURO, ROSA",819470
"MEEKS, GREGORY WELDON",819726
"BAIRD, BRIAN N",834004
