abd,age,fthr_ed,educ,log.wage
1,21,7,6,8.517393171
1,29,7,3,6.370471561
1,23,7,4,7.670361905
1,18,0,7,8.853808275
1,18,4,7,5.525452939
1,25,7,7,5.993961427
1,23,7,7,7.419180698
0,29,7,7,7.404800697
1,28,7,7,8.335111567
1,22,7,8,0
1,14,10,5,0
1,19,0,8,7.53689713
1,26,10,7,6.572682051
1,30,7,12,0
1,23,4,7,4.719490473
1,17,7,3,6.646690176
1,15,10,7,0
0,14,0,6,4.900324235
1,30,4,4,6.977681065
1,25,7,11,8.294299609
1,23,0,2,5.612132225
1,15,7,5,0
1,25,4,4,0
1,19,4,1,7.824445931
0,19,4,7,6.685860947
1,17,10,10,8.112028014
1,18,12,7,7.755481584
1,20,12,6,0
1,21,7,11,0
1,19,10,8,0
1,30,4,4,0
1,15,12,6,0
1,29,0,4,5.37196608
0,16,0,7,6.908754779
1,14,4,3,0
1,15,7,10,0
1,30,4,7,0
1,14,4,4,0
1,15,12,6,0
1,16,0,7,0
1,16,4,8,0
1,28,0,4,7.521401252
0,16,0,6,6.552507887
1,18,4,10,0
1,30,4,7,7.244941546
1,23,4,6,7.419180698
1,20,4,7,3.603165966
1,15,7,4,6.572682051
0,15,0,5,3.795000531
1,24,0,6,5.993961427
1,14,12,5,0
1,20,4,7,0
0,29,7,4,7.467942332
0,14,4,6,0
0,20,15,6,0
0,21,7,6,0
1,17,7,11,5.880931937
1,18,10,7,7.13169851
1,25,0,5,0
1,18,4,10,8.207310975
1,14,4,6,0
1,28,0,7,7.74109909
1,30,4,6,6.572682051
1,18,7,10,6.908754779
1,15,10,5,3.88401541
1,20,10,10,5.860786223
1,19,0,5,8.294299609
1,20,10,9,7.283135962
1,30,4,6,6.552507887
1,17,7,7,6.216606101
1,22,10,10,9.105090961
1,19,10,3,6.14775577
1,15,7,7,7.313886832
1,21,10,6,0
1,25,10,6,6.908754779
0,20,10,12,8.006700845
1,15,7,7,0
1,30,4,6,8.517393171
1,18,10,10,4.122515457
1,15,4,7,3.99951049
1,18,10,9,7.601402335
1,19,10,10,6.277113304
1,17,4,7,4.968820774
1,25,4,3,0
1,16,7,9,4.282600885
1,15,10,8,0
1,16,0,7,5.525452939
0,14,7,6,5.880931937
1,24,7,5,6.646690176
0,19,10,8,6.062788064
1,20,15,10,0
1,25,0,4,5.303304908
0,19,15,12,0
1,30,4,2,6.011617242
0,19,0,11,8.006700845
1,17,0,2,5.898900563
0,25,4,6,7.37268924
1,15,4,10,0
1,14,4,6,0
1,29,7,7,6.552507887
1,30,4,4,7.184766947
1,22,12,7,6.180312371
1,22,10,5,7.692330602
1,26,4,6,7.159847142
0,18,0,7,6.995682872
1,26,0,8,7.353081921
1,21,4,13,0
0,24,0,9,9.210440367
0,21,4,6,8.922791624
0,25,0,2,6.795545938
1,30,4,7,4.683453135
0,17,0,7,0
0,24,4,5,5.880931937
0,26,4,4,9.615872145
0,16,10,6,7.090909822
0,17,10,7,0
1,14,10,3,0
0,25,4,10,8.294299609
0,22,4,9,6.977681065
1,19,4,8,0
1,19,0,10,5.687374074
0,15,12,5,3.931825633
0,16,4,7,0
0,14,7,5,0
0,15,4,7,0
0,25,4,4,6.726632978
1,15,7,4,0
1,17,10,6,6.062788064
0,18,7,7,5.81213853
1,19,7,7,0
1,27,7,14,8.77971129
1,14,4,6,6.503789077
1,25,10,13,0
1,20,0,5,8.805025228
1,20,4,6,0
1,15,4,6,0
1,20,7,6,0
1,30,0,12,6.285465913
0,21,10,6,7.360376575
0,23,4,12,0
1,18,4,8,0
0,21,4,7,7.343720229
1,26,0,6,7.824445931
1,30,4,6,8.853808275
1,26,10,7,7.70671285
0,26,10,8,0
1,30,4,7,7.265129966
1,18,4,2,0
0,23,7,3,6.646690176
1,14,10,11,5.303304908
1,15,4,8,7.026426809
1,30,0,3,7.360376575
1,30,0,7,0
1,30,7,2,6.621405652
0,18,0,10,0
1,14,12,7,7.170888479
1,30,0,13,9.43356392
1,20,7,11,7.488133588
1,20,10,4,6.216606101
1,27,4,11,0
1,29,0,4,8.294299609
1,25,4,8,6.467476833
1,20,4,7,5.880931937
1,18,7,5,0
1,15,0,6,0
1,24,4,9,7.50792528
1,15,0,7,7.0627627
1,17,0,8,0
1,20,0,9,0
1,14,12,6,0
1,18,10,7,0
1,23,4,11,9.570412848
1,16,0,5,0
1,18,0,10,0
1,18,4,8,0
1,17,7,4,6.726632978
1,20,7,3,0
1,15,4,5,0
1,15,12,7,0
1,25,10,6,7.601402335
1,25,7,3,8.517393171
1,19,7,7,0
1,30,0,0,6.908754779
0,17,4,10,7.544273332
1,25,4,7,8.006700845
0,30,15,10,0
1,14,4,5,5.121977912
1,29,7,5,9.680406499
1,18,4,6,0
1,16,4,5,0
1,15,4,5,0
0,29,4,6,0
0,30,0,3,7.265129966
1,28,0,7,6.803505258
1,25,10,7,6.521462322
1,19,4,12,0
1,21,7,6,8.922791624
1,29,4,5,6.484400293
0,14,4,5,5.303304908
1,14,10,6,0
1,25,7,2,7.33918799
1,20,4,13,0
1,22,10,8,0
0,21,10,3,4.968820774
0,16,4,7,0
1,14,10,5,0
0,14,0,5,5.589742387
1,30,4,6,8.517393171
1,25,7,7,9.567085284
1,25,4,3,6.216606101
1,25,4,5,8.922791624
1,29,4,6,6.908754779
1,25,4,7,6.216606101
1,29,4,3,6.572682051
0,28,0,5,5.869130691
1,18,7,3,0
0,28,10,7,6.672632378
1,15,0,7,0
0,18,4,8,0
1,26,4,6,0
1,22,7,7,7.419180698
1,25,0,4,0
1,15,4,6,0
1,25,4,8,0
0,20,4,13,0
1,30,10,10,7.488133588
1,16,7,8,0
1,15,7,6,0
0,21,7,8,6.965857651
0,22,10,6,6.908754779
1,21,4,2,0
1,14,7,5,0
1,22,0,6,5.303304908
1,20,4,6,5.303304908
1,16,4,3,7.13169851
1,30,4,13,0
1,22,4,14,11.28979441
1,14,7,5,0
0,23,7,7,6.503789077
1,19,0,6,0
1,20,7,2,6.42387119
1,17,4,9,0
1,30,7,7,9.472781557
1,28,0,7,6.503789077
1,21,0,9,0
1,28,4,4,6.034683642
1,16,4,5,6.503789077
0,19,7,9,8.517393171
1,26,4,8,6.908754779
0,25,10,10,8.517393171
0,16,0,5,0
1,18,7,5,6.908754779
1,21,7,6,6.516193076
1,14,4,5,0
0,19,4,9,8.517393171
1,19,10,10,7.265129966
1,27,0,7,6.034683642
1,30,10,5,0
1,22,4,7,7.090909822
1,25,4,7,6.908754779
1,16,10,9,0
0,18,15,10,0
1,18,4,6,0
1,30,0,5,0
1,22,4,6,7.601402335
1,25,4,3,0
1,20,10,7,7.824445931
0,25,7,6,6.908754779
