totexp,food,hhincomepc
3860.916748,2147.583252,17800
2341.983643,1464,7055.026673
8097.083496,3015.166748,4585.714286
1917.333374,1190,8460
3957.773193,2608.666748,8870.089472
3205,1665.333374,6840
4654.5,2985.666748,12890
1936.166626,1242,4624
1937.416626,1318.25,600
3026.5,1693.5,24980
1843.083374,1366.166626,8040
3595.333252,2053.666748,3480
4510.583496,3243.25,4814.375933
1346.166626,790.333313,1590
3973.523926,2404.166748,3792.054814
2204.833252,1336.5,3780
19727.66602,3138.833252,48000
15450.33301,2716.833252,70500
55506.83203,7526.833496,56485.71429
5583.108887,2521.5,8392.017402
2602.915771,1548,5481.809546
2238.761963,1582.833374,3543.041111
3762.383789,1893.333374,4709.998967
3980.763916,2430,8036.997477
3332.341553,1286.166626,9011.319737
3293.263916,1996.666626,5765.552753
3290.499268,2066.416504,5557.309546
2359.095215,1371,10999.04111
3637.178711,2705.833252,8019.573827
2522.550537,1136,9119.997935
3054.011963,2046.25,7671.232889
3229.5,1549,12321.66667
3511.75,1934.666626,5874.285714
2484,1101.166626,2700
4597.083496,2998.583252,8625
4936.666504,2198.333252,3624
4648.833496,2783.166748,5760
2529.833252,1192.333374,3655
3756.833252,1945.5,3172.5
2990.75,1694.166626,27600
3713.333252,1827.833374,6000
3179.666748,1664.166626,3150
8872.25,4051.416748,2870.769231
6921.5,4155.333496,6940
4666.25,2324.25,7515
2793.166748,1117.333374,7200
3506.916748,1862.25,4946.666667
7691,3561.666748,56647.27273
2172.25,1369.166626,6217.489354
2948.833252,1752.25,18739.16667
2209.333252,1009.666687,4100
7379.505371,4015.755127,11474.875
2090.666748,1205.166626,3257.142857
6112.583496,1655.333374,10940.76923
4231.880859,1653.797485,12296.11111
1867.25,1130,4500
6784.541016,2593.20752,15896.66667
1251.75,642.75,13200
3698,1560,14500
3347.416748,1610.333374,4560
3031.833252,1704,126270
5490.833496,1025.833374,4120
5200,1388.333374,5232
11774.91699,7445.5,5368.536153
3744.083252,1540.333374,12560
3886.25,2405.583252,720
5233.833496,1349.833374,2880
3587.833252,1903,13250
2046,814.333313,11757.6
5352,2752.5,4285.714286
3265.5,1932.166626,14016.66667
5261.347656,2686.235596,4839.119202
7237.583496,2557.833252,8000
3280.588867,1882.505493,5049.333333
2577.75,730.666687,5676.363636
8585.916992,3003.416748,81011.42857
2755.5,1578.333374,1200
5508.083496,2975.166748,9000
3907.333252,1932.333374,5771.428571
7239.833496,2261,15067.5
3514.25,1263.75,900
1601,877.833313,5622.857143
1482.416626,782.916687,4087.857143
1340.272095,718.4387817,1560.333333
1682.201904,859.5352173,3400
2452.25,764,3060
2380.166748,1214.333374,3942.857143
786.833313,387,9235
15976.08301,2939,8453.846154
3506.833252,1023.416687,2400
1833.083374,784.583313,17718.57143
1032,391,3171
3792.40918,803.0757446,31982
1743.916626,1004,16516.66667
1705.25,674.5,900
2197.954834,1256.371582,4666.4
4069.738281,1790.321655,23037.27273
7793.109863,2322.859863,16560
