Date,Yen,US_2yr,JP_2yr
2000-01-04,102.98,6.3,0.402
2000-01-05,103.87,6.38,0.38
2000-01-06,105.26,6.35,0.388
2000-01-07,105.45,6.31,0.406
2000-01-11,105.77,6.45,0.421
2000-01-12,105.83,6.49,0.454
2000-01-13,106.21,6.4,0.437
2000-01-14,106.05,6.44,0.414
2000-01-18,105.5,6.47,0.417
2000-01-19,105.75,6.46,0.414
2000-01-20,105.53,6.49,0.419
2000-01-21,104.86,6.48,0.41
2000-01-24,105.55,6.43,0.392
2000-01-25,105.84,6.44,0.376
2000-01-26,105.89,6.45,0.375
2000-01-27,105.0,6.51,0.371
2000-01-28,105.68,6.58,0.371
2000-01-31,106.98,6.61,0.403
2000-02-01,107.91,6.6,0.426
2000-02-02,108.42,6.63,0.453
2000-02-03,108.19,6.56,0.447
2000-02-04,107.34,6.63,0.421
2000-02-07,108.4,6.68,0.43
2000-02-08,109.51,6.69,0.439
2000-02-09,109.19,6.69,0.43
2000-02-10,108.53,6.67,0.433
2000-02-14,108.74,6.62,0.428
2000-02-15,108.72,6.66,0.414
2000-02-16,109.47,6.63,0.411
2000-02-17,110.35,6.69,0.417
2000-02-18,110.8,6.66,0.398
2000-02-22,110.66,6.57,0.391
2000-02-23,111.12,6.61,0.391
2000-02-24,111.01,6.52,0.407
2000-02-25,110.88,6.45,0.412
2000-02-28,108.98,6.47,0.404
2000-02-29,109.91,6.53,0.409
2000-03-01,107.53,6.52,0.405
2000-03-02,107.61,6.52,0.413
2000-03-03,107.57,6.5,0.425
2000-03-06,107.6,6.55,0.429
2000-03-07,106.79,6.48,0.439
2000-03-08,106.89,6.5,0.424
2000-03-09,106.22,6.48,0.434
2000-03-10,106.31,6.55,0.44
2000-03-13,105.35,6.52,0.441
2000-03-14,104.98,6.48,0.441
2000-03-15,105.43,6.5,0.446
2000-03-16,105.63,6.5,0.462
2000-03-17,106.1,6.5,0.468
2000-03-21,106.89,6.5,0.491
2000-03-22,106.97,6.5,0.472
2000-03-23,107.45,6.52,0.457
2000-03-24,107.16,6.64,0.473
2000-03-27,106.79,6.66,0.5
2000-03-28,105.97,6.6,0.501
2000-03-29,105.56,6.59,0.507
2000-03-30,105.33,6.52,0.501
2000-03-31,102.45,6.5,0.493
2000-04-03,104.84,6.45,0.491
2000-04-04,105.62,6.35,0.482
2000-04-05,105.11,6.35,0.473
2000-04-06,104.84,6.38,0.462
2000-04-07,105.34,6.38,0.453
2000-04-10,106.76,6.31,0.466
2000-04-11,106.96,6.36,0.466
2000-04-12,105.9,6.4,0.468
2000-04-13,105.95,6.4,0.515
2000-04-14,104.84,6.27,0.51
2000-04-17,104.25,6.33,0.47
2000-04-18,104.37,6.33,0.472
2000-04-19,104.56,6.33,0.468
2000-04-20,105.38,6.38,0.478
2000-04-25,105.7,6.48,0.441
2000-04-26,106.53,6.5,0.431
2000-04-27,106.39,6.63,0.432
2000-04-28,108.07,6.68,0.437
2000-05-02,108.85,6.72,0.424
2000-05-08,108.83,6.87,0.415
2000-05-09,109.42,6.86,0.401
2000-05-10,109.44,6.84,0.399
2000-05-11,108.62,6.82,0.386
2000-05-12,108.81,6.91,0.39
2000-05-15,109.51,6.88,0.396
2000-05-16,109.77,6.89,0.401
2000-05-17,109.45,6.9,0.411
2000-05-18,108.85,6.93,0.392
2000-05-19,106.88,6.86,0.398
2000-05-22,107.14,6.81,0.381
2000-05-23,106.69,6.83,0.381
2000-05-24,107.32,6.79,0.372
2000-05-25,107.64,6.71,0.373
2000-05-26,106.92,6.69,0.373
2000-05-30,106.2,6.74,0.401
2000-05-31,107.68,6.69,0.403
2000-06-01,108.6,6.61,0.416
2000-06-02,108.11,6.52,0.439
2000-06-05,107.29,6.49,0.472
2000-06-06,105.25,6.51,0.478
2000-06-07,105.54,6.52,0.476
2000-06-08,106.15,6.56,0.477
2000-06-09,106.87,6.56,0.45
2000-06-12,106.5,6.52,0.458
2000-06-13,106.76,6.49,0.453
2000-06-14,106.52,6.44,0.459
2000-06-15,106.52,6.44,0.445
2000-06-16,106.43,6.38,0.422
2000-06-19,105.86,6.4,0.42
2000-06-20,105.52,6.43,0.44
2000-06-21,105.5,6.5,0.466
2000-06-22,104.44,6.5,0.471
2000-06-23,104.25,6.55,0.482
2000-06-26,105.57,6.5,0.509
2000-06-27,105.53,6.5,0.51
2000-06-28,105.51,6.43,0.5
2000-06-29,104.92,6.37,0.525
2000-06-30,105.75,6.38,0.524
2000-07-03,105.92,6.31,0.526
2000-07-05,106.94,6.29,0.513
2000-07-06,107.42,6.34,0.499
2000-07-07,107.85,6.29,0.505
2000-07-10,107.04,6.31,0.507
2000-07-11,106.93,6.32,0.525
2000-07-12,108.42,6.34,0.538
2000-07-13,107.98,6.31,0.485
2000-07-14,107.97,6.41,0.486
2000-07-17,108.42,6.46,0.489
2000-07-18,108.17,6.44,0.472
2000-07-19,108.15,6.46,0.477
2000-07-21,109.05,6.32,0.479
2000-07-24,108.88,6.35,0.475
2000-07-25,109.27,6.35,0.481
2000-07-26,109.28,6.29,0.471
2000-07-27,109.15,6.27,0.461
2000-07-28,109.62,6.3,0.446
2000-07-31,109.58,6.3,0.448
2000-08-01,109.41,6.27,0.455
2000-08-02,109.11,6.23,0.456
2000-08-03,108.03,6.22,0.456
2000-08-04,108.44,6.15,0.457
2000-08-07,109.0,6.2,0.453
2000-08-08,108.71,6.16,0.469
2000-08-09,108.07,6.18,0.504
2000-08-10,108.49,6.16,0.535
2000-08-11,108.35,6.25,0.521
2000-08-14,109.4,6.25,0.53
2000-08-15,109.04,6.28,0.546
2000-08-16,108.55,6.3,0.557
2000-08-17,108.53,6.3,0.547
2000-08-18,108.46,6.27,0.548
2000-08-21,108.48,6.28,0.556
2000-08-22,108.4,6.27,0.566
2000-08-23,106.95,6.2,0.592
2000-08-24,106.94,6.19,0.597
2000-08-25,106.78,6.19,0.613
2000-08-29,106.14,6.26,0.652
2000-08-30,106.52,6.24,0.646
2000-08-31,106.63,6.18,0.645
2000-09-01,105.75,6.09,0.662
2000-09-05,105.85,6.09,0.661
2000-09-06,105.92,6.11,0.667
2000-09-07,105.09,6.14,0.66
2000-09-08,106.12,6.11,0.628
2000-09-11,106.07,6.12,0.62
2000-09-12,106.93,6.12,0.611
2000-09-13,107.14,6.09,0.612
2000-09-14,107.23,6.11,0.623
2000-09-18,106.87,6.04,0.623
2000-09-19,107.03,6.05,0.619
2000-09-20,106.76,6.11,0.624
2000-09-21,106.34,6.11,0.635
2000-09-22,107.65,6.09,0.619
2000-09-25,107.45,6.11,0.631
2000-09-26,107.53,6.07,0.646
2000-09-27,107.41,6.0,0.646
2000-09-28,107.55,6.02,0.655
2000-09-29,108.04,5.98,0.646
2000-10-02,108.8,5.98,0.641
2000-10-03,108.62,6.0,0.631
2000-10-04,109.32,6.03,0.627
2000-10-05,109.47,6.02,0.62
2000-10-06,108.8,5.98,0.618
2000-10-10,108.01,5.98,0.615
2000-10-11,107.52,5.93,0.604
2000-10-12,107.85,5.86,0.604
2000-10-13,107.63,5.84,0.586
2000-10-16,108.29,5.89,0.584
2000-10-17,108.17,5.83,0.59
2000-10-18,107.72,5.82,0.591
2000-10-19,108.5,5.86,0.583
2000-10-20,108.89,5.84,0.579
2000-10-23,108.4,5.82,0.59
2000-10-24,108.11,5.86,0.594
2000-10-25,107.8,5.87,0.59
2000-10-26,108.47,5.9,0.58
