"","name","confirm","suspect","dead","deadRate","showRate","heal","healRate","showHeal"
"1","China",83039,88,3340,"4.02","FALSE",77361,"93.16","TRUE"
"2","United States",143071,0,2513,"1.76","FALSE",4856,"3.39","FALSE"
"3","Italy",97689,0,10779,"11.03","FALSE",13030,"13.34","FALSE"
"4","Spain",85195,0,7340,"8.62","FALSE",14709,"17.27","FALSE"
"5","Germany",63929,0,560,"0.88","FALSE",9211,"14.41","FALSE"
"6","Iran",44606,0,2898,"6.5","FALSE",14656,"32.86","FALSE"
"7","France",40751,0,2612,"6.41","FALSE",7238,"17.76","FALSE"
"8","United Kingdom",22472,0,1793,"7.98","FALSE",179,"0.8","FALSE"
"9","Switzerland",15526,0,312,"2.01","FALSE",1823,"11.74","FALSE"
"10","Belgium",11899,0,513,"4.31","FALSE",1527,"12.83","FALSE"
"11","Netherlands",11814,0,864,"7.31","FALSE",253,"2.14","FALSE"
"12","South Korea",9976,0,169,"1.69","FALSE",5828,"58.42","FALSE"
"13","Austria",9377,0,108,"1.15","FALSE",636,"6.78","FALSE"
"14","Turkey",9217,0,131,"1.42","FALSE",105,"1.14","FALSE"
"15","Portugal",6408,0,140,"2.18","FALSE",43,"0.67","FALSE"
"16","Canada",6320,0,65,"1.03","FALSE",466,"7.37","FALSE"
"17","Israel",4347,0,15,"0.35","FALSE",139,"3.2","FALSE"
"18","Norway",4284,0,26,"0.61","FALSE",7,"0.16","FALSE"
"19","Brazil",4256,0,136,"3.2","FALSE",6,"0.14","FALSE"
"20","Australia",4245,0,18,"0.42","FALSE",244,"5.75","FALSE"
"21","Japan",3858,0,93,"2.41","FALSE",514,"13.32","FALSE"
"22","Sweden",3700,0,110,"2.97","FALSE",16,"0.43","FALSE"
"23","Czech Republic",2817,0,16,"0.57","FALSE",11,"0.39","FALSE"
"24","Denmark",2724,0,72,"2.64","FALSE",73,"2.68","FALSE"
"25","Malaysia",2626,0,37,"1.41","FALSE",479,"18.24","FALSE"
"26","Ireland",2615,0,46,"1.76","FALSE",5,"0.19","FALSE"
"27","Chile",2449,0,8,"0.33","FALSE",156,"6.37","FALSE"
"28","Luxembourg",1988,0,22,"1.11","FALSE",40,"2.01","FALSE"
"29","Romania",1952,0,46,"2.36","FALSE",206,"10.55","FALSE"
"30","Ecuador",1924,0,58,"3.01","FALSE",3,"0.16","FALSE"
"31","Poland",1905,0,26,"1.36","FALSE",7,"0.37","FALSE"
"32","Russia",1836,0,9,"0.49","FALSE",66,"3.59","FALSE"
"33","Pakistan",1625,0,20,"1.23","FALSE",29,"1.78","FALSE"
"34","Philippines",1546,0,78,"5.05","FALSE",42,"2.72","FALSE"
"35","Thailand",1524,0,9,"0.59","FALSE",127,"8.33","FALSE"
"36","Saudi Arabia",1453,0,8,"0.55","FALSE",115,"7.91","FALSE"
"37","Indonesia",1414,0,122,"8.63","FALSE",75,"5.3","FALSE"
"38","South Africa",1280,0,2,"0.16","FALSE",31,"2.42","FALSE"
"39","Finland",1240,0,11,"0.89","FALSE",10,"0.81","FALSE"
"40","Greece",1156,0,38,"3.29","FALSE",52,"4.5","FALSE"
"41","India",1071,0,29,"2.71","FALSE",99,"9.24","FALSE"
"42","Iceland",1020,0,2,"0.2","FALSE",135,"13.24","FALSE"
"43","Mexico",993,0,20,"2.01","FALSE",4,"0.4","FALSE"
"44","Panama",989,0,24,"2.43","FALSE",4,"0.4","FALSE"
"45","Dominican Republic",901,0,42,"4.66","FALSE",4,"0.44","FALSE"
"46","Singapore",879,0,3,"0.34","FALSE",228,"25.94","FALSE"
"47","Peru",852,0,18,"2.11","FALSE",16,"1.88","FALSE"
"48","Argentina",820,0,80,"9.76","FALSE",72,"8.78","FALSE"
"49","Serbia",785,0,16,"2.04","FALSE",15,"1.91","FALSE"
"50","Croatia",713,0,6,"0.84","FALSE",55,"7.71","FALSE"
"51","Diamond Princess",712,0,11,"1.54","FALSE",603,"84.69","FALSE"
"52","Colombia",702,0,10,"1.42","FALSE",10,"1.42","FALSE"
"53","Slovenia",684,0,9,"1.32","FALSE",10,"1.46","FALSE"
"54","Estonia",645,0,1,"0.16","FALSE",20,"3.1","FALSE"
"55","Qatar",634,0,1,"0.16","FALSE",48,"7.57","FALSE"
"56","United Arab Emirates",611,0,5,"0.82","FALSE",61,"9.98","FALSE"
"57","Egypt",609,0,40,"6.57","FALSE",132,"21.67","FALSE"
"58","New Zealand",589,0,1,"0.17","FALSE",56,"9.51","FALSE"
"59","Azerbaijan",584,0,5,"0.86","FALSE",32,"5.48","FALSE"
"60","Iraq",547,0,42,"7.68","FALSE",143,"26.14","FALSE"
"61","Morocco",516,0,27,"5.23","FALSE",13,"2.52","FALSE"
"62","Bahrain",515,0,4,"0.78","FALSE",279,"54.17","FALSE"
"63","Algeria",511,0,31,"6.07","FALSE",32,"6.26","FALSE"
"64","Armenia",481,0,3,"0.62","FALSE",30,"6.24","FALSE"
"65","Ukraine",480,0,11,"2.29","FALSE",6,"1.25","FALSE"
"66","Hungary",447,0,15,"3.36","FALSE",34,"7.61","FALSE"
"67","Lebanon",446,0,11,"2.47","FALSE",32,"7.17","FALSE"
"68","Lithuania",394,0,7,"1.78","FALSE",1,"0.25","FALSE"
"69","Latvia",347,0,0,"0","FALSE",1,"0.29","FALSE"
"70","Slovakia",336,0,0,"0","FALSE",2,"0.6","FALSE"
"71","Andorra",334,0,6,"1.8","FALSE",6,"1.8","FALSE"
"72","Bosnia and Herzegovina",324,0,6,"1.85","FALSE",8,"2.47","FALSE"
"73","Puerto Rico",316,0,12,"3.8","FALSE",0,"0","FALSE"
"74","Bulgaria",313,0,3,"0.96","FALSE",4,"1.28","FALSE"
"75","Tunisia",312,0,8,"2.56","FALSE",2,"0.64","FALSE"
